,dist_num,Violation_Counts
0,7,126355
1,9,123849
2,25,117432
3,4,117272
4,8,114774
5,3,109753
6,11,108403
7,6,107031
8,10,102429
9,12,93691
10,19,83999
11,14,80682
12,5,78936
13,24,77844
14,15,75397
15,2,75007
16,17,66627
17,16,58543
18,18,54567
19,22,49698
20,1,41673
21,20,41058
